"permutation","lod"
313,3.16685958714015
314,3.58037411635087
315,2.99999583123645
316,3.85584299144512
317,4.46231555591885
318,3.56903091974937
319,2.63361250294383
320,4.13877740951034
321,2.62349610467913
322,4.57896632241227
323,2.84613882339136
324,3.32555793731217
325,3.01457141759556
326,3.69470429697026
327,3.17330515151571
328,2.5827653359313
329,2.87949925555313
330,3.13180830404895
331,2.70882661904375
332,3.11274862857044
333,2.59262065756729
334,3.70372947194755
335,2.75365118138166
336,2.65988333033783
337,2.94538889743171
338,2.93153930111498
339,3.10426217822783
340,3.61615135368584
341,2.25584289363383
342,2.81127263420626
343,2.32320628701405
344,3.873956587679
345,3.48321544948999
346,2.59729521564236
347,3.7968889807521
348,2.78912630471814
349,3.94982133206054
350,4.06577060352583
351,3.78961311295166
352,2.56349095772703
353,3.62876054805884
354,3.72660115074973
355,3.2100321688481
356,2.83241492974503
357,4.1789065661676
358,3.52662298162477
359,3.26197420946642
360,3.3885026697385
361,3.15953142501144
362,3.41927430231704
363,3.67058574204361
364,3.0743200118668
365,3.49951010610175
366,3.06758845662262
367,3.30336546196349
368,2.93240148265795
369,2.81076412345942
370,3.46716058258062
371,2.50199821217871
372,3.02649291024204
373,3.89626598376822
374,3.73415671928979
375,2.70896931651464
376,2.39512534885557
377,3.77439264542909
378,3.61398424730942
379,3.32721233847997
380,3.31607845630447
381,3.83479604877516
382,3.42966521392918
383,2.74218331174279
384,3.84030042369409
385,3.21257354277191
386,3.22857078859579
387,3.42085918824182
388,3.411300100679
389,3.0564177047097
390,4.23329587034368
391,2.54082270095182
392,3.37900289604499
393,3.87133229742744
394,2.86677474909357
395,2.67328836156321
396,3.52465554600622
397,3.16738725603295
398,3.9701119490876
399,2.53002731683
400,2.78087829420929
401,2.21487563464302
402,4.62422105257929
403,4.22544779894474
404,2.75967354356385
405,2.71069073928197
406,2.97434505708179
407,3.0348733498322
408,2.49238217703237
409,3.79333707568321
410,2.9424786276968
411,2.84126010145224
412,3.26077148474747
413,2.55829657974732
414,3.92970462135509
415,1.95494051486594
416,3.29505121597072
417,2.84175639607338
418,3.39474884739752
419,3.22550108558926
420,2.84595832636705
421,2.86005331002389
422,3.60185117431411
423,3.29614558439334
424,3.51995351825303
425,3.6687497343421
426,2.50949401052389
427,3.58314084334347
428,3.26375731715848
429,4.7137318661587
430,3.43673611419081
431,2.00836050223074
432,4.21726749906748
433,2.59767267034999
434,3.42737098919952
435,3.22203467943109
436,2.49787191756013
437,2.88582548030854
438,4.68519591098789
439,2.60017742033165
440,2.62526433971129
441,2.26451522240291
442,3.13196734971712
443,3.51559164197283
444,3.28807054038839
445,3.40328328571582
446,3.30528310438467
447,3.38467222482154
448,2.45313917791123
449,3.9725100605956
450,4.30914982834861
451,2.80299352511474
452,2.49256868928956
453,3.27562590257207
454,2.6825359745676
455,3.70906098256364
456,3.11285057874875
457,3.79103924752553
458,3.58626073024379
459,2.49128743576352
460,3.0215906537594
461,2.5580764328854
462,3.03032682329899
463,2.86385115139092
464,3.38509434657226
465,2.9929925037568
466,3.25637048179078
467,2.79741103589572
468,2.2618763960063
469,2.3556374624975
470,2.57400992380872
471,4.17657197328504
472,3.44814517021109
473,5.5537075230659
474,3.78095772897836
475,3.31154499355102
476,3.29124112717068
477,3.8315781409467
478,3.99263384243477
479,2.83030199909035
480,3.84862766139486
481,2.81667177240524
482,2.83982761690277
483,2.74351248339531
484,3.14153441568328
485,3.34696025413791
486,3.63519156718712
487,4.80846136706123
488,4.11079005381453
489,2.80212803264294
490,3.02979669368324
491,3.88428781801872
492,3.32099569862021
493,2.71121672426216
494,3.78567433705666
495,4.03393980724036
496,3.01576135125538
497,4.28738427209123
498,2.69193123664786
499,3.73114914276971
500,3.44337965670297
501,2.86626588948207
502,3.92096437960436
503,2.75313502584845
504,2.59705548372085
505,2.53353859734625
506,2.87266011781617
507,2.25932624761549
508,2.31828219208091
509,3.26188253199143
510,3.14401991326599
511,3.42143096139625
512,3.12998379545343
513,2.92996136978604
514,2.9672122877073
515,3.02376990092375
516,3.40460446176326
517,2.66377560506248
518,5.87355371653098
519,4.47200322601384
520,2.42159538882379
521,3.05385029442346
522,3.39470534594193
523,2.84333147960865
524,2.45363168358858
525,3.65414548481067
526,6.55391868785159
527,3.47744336830533
528,1.9192081099236
529,3.62620189736253
530,3.61970731540964
531,3.05110169760997
532,3.22503400094593
533,2.26744717561814
534,2.89672103278758
535,2.98970821923967
536,3.66780076295368
537,2.44898144968965
538,3.0291189174734
539,2.98784589839192
540,3.57777930588281
541,3.40625414524698
542,2.47941777966071
543,2.99248006615176
544,3.83482145977018
545,2.9412807820438
546,4.32974797903012
547,4.32490923759474
548,3.21807330764796
549,2.47195179526284
550,2.91038896299233
551,2.24761560219736
552,4.45290625168491
553,3.28953095310635
554,2.9715641472194
555,3.40187392795838
556,3.29310221935839
557,3.93041533191422
558,3.0289714265391
559,3.70407094374423
560,3.25088302316885
561,4.60533391711942
562,2.17523112312256
