TaxaID	Color
GE1783_0471	2
GE1783_0472	1
GE1783_0473	2
GE1783_0474	2
GE1783_0475	0
GE1783_0476	2
GE1783_0477	1
GE1783_0478	2
GE1783_0479	1
GE1783_0480	0
GE1783_0481	2
GE1783_0482	2
GE1783_0483	NA
GE1783_0484	2
GE1783_0485	1
GE1783_0487	2
GE1783_0488	1
GE1783_0489	0
GE1783_0490	0
GE1783_0491	0
GE1783_0492	1
GE1783_0493	2
GE1783_0494	2
GE1783_0495	0
GE1783_0496	1
GE1783_0497	0
GE1783_0498	2
GE1783_0499	1
GE1783_0500	1
GE1783_0501	2
GE1783_0502	1
GE1783_0503	1
GE1783_0504	2
GE1783_0505	0
GE1783_0506	0
GE1783_0507	NA
GE1783_0508	2
GE1783_0509	2
GE1783_0510	2
GE1783_0511	2
GE1783_0512	2
GE1783_0513	1
GE1783_0514	2
GE1783_0515	0
GE1783_0516	2
GE1783_0517	0
GE1783_0518	NA
GE1783_0519	1
GE1783_0520	2
GE1783_0521	1
GE1783_0522	2
GE1783_0523	2
GE1783_0524	2
GE1783_0525	2
GE1783_0526	0
GE1783_0527	1
GE1783_0528	NA
GE1783_0529	1
GE1783_0530	2
GE1783_0531	2
GE1783_0532	1
GE1783_0533	NA
GE1783_0534	0
GE1783_0535	1
GE1783_0536	NA
GE1783_0537	2
GE1783_0538	2
GE1783_0539	1
GE1783_0540	2
GE1783_0541	1
GE1783_0542	NA
GE1783_0543	NA
GE1783_0544	NA
GE1783_0545	1
GE1783_0546	NA
GE1783_0547	2
GE1783_0548	NA
GE1783_0549	1
GE1783_0550	1
GE1783_0551	2
GE1783_0552	1
GE1783_0553	1
GE1783_0554	2
GE1783_0555	2
GE1783_0556	0
GE1783_0557	0
GE1783_0558	2
GE1783_0559	2
GE1783_0560	2
GE1783_0561	2
GE1783_0562	2
GE1783_0563	0
GE1783_0564	2
GE1783_0565	NA
GE1783_0566	0
GE1783_0567	1
GE1783_0568	1
GE1783_0569	0
GE1783_0570	2
GE1783_0571	2
GE1783_0572	2
GE1783_0573	2
GE1783_0574	2
GE1783_0575	1
GE1783_0576	2
GE1783_0577	1
GE1783_0578	1
GE1783_0579	2
GE1783_0580	0
GE1783_0582	2
GE1783_0583	0
GE1783_0584	2
GE1783_0585	2
GE1783_0586	0
GE1783_0587	2
GE1783_0588	NA
GE1783_0589	1
GE1783_0590	2
GE1783_0591	0
GE1783_0592	NA
GE1783_0593	2
GE1783_0594	2
GE1783_0595	2
GE1783_0596	1
GE1783_0597	2
GE1783_0598	2
GE1783_0599	1
GE1783_0600	NA
GE1783_0601	2
GE1783_0602	2
GE1783_0603	2
GE1783_0604	2
GE1783_0605	2
GE1783_0606	1
GE1783_0607	2
GE1783_0608	0
GE1783_0609	2
GE1783_0610	1
GE1783_0611	2
GE1783_0612	1
GE1783_0613	2
GE1783_0614	2
GE1783_0615	2
GE1783_0616	2
GE1783_0617	2
GE1783_0618	2
GE1783_0619	2
GE1783_0620	1
GE1783_0621	0
GE1783_0622	0
GE1783_0623	2
GE1783_0624	1
GE1783_0625	2
GE1783_0626	0
GE1783_0627	1
GE1783_0628	2
GE1783_0629	2
GE1783_0630	2
GE1783_0631	1
GE1783_0632	1
GE1783_0633	2
GE1783_0634	1
GE1783_0635	NA
GE1783_0636	2
GE1783_0637	0
GE1783_0638	1
GE1783_0639	2
GE1783_0640	1
GE1783_0641	2
GE1783_0642	2
GE1783_0643	2
GE1783_0644	NA
GE1783_0645	NA
GE1783_0646	2
GE1783_0647	1
GE1783_0648	1
GE1783_0649	2
GE1783_0650	NA
GE1783_0651	2
GE1783_0652	NA
GE1783_0653	2
GE1783_0654	2
GE1783_0655	1
GE1783_0656	1
GE1783_0657	2
GE1783_0658	NA
GE1783_0659	0
GE1783_0660	2
GE1783_0661	0
GE1783_0662	1
GE1783_0663	2
GE1783_0664	0
GE1783_0665	0
GE1783_0666	1
GE1783_0667	2
GE1783_0668	2
GE1783_0669	1
GE1783_0670	0
GE1783_0671	0
GE1783_0672	2
GE1783_0673	2
GE1783_0674	NA
GE1783_0675	0
GE1783_0676	2
GE1783_0677	2
GE1783_0678	1
GE1783_0679	2
GE1783_0680	1
GE1783_0681	2
GE1783_0682	NA
GE1783_0683	2
GE1783_0684	2
GE1783_0685	1
GE1783_0686	1
GE1783_0687	1
GE1783_0688	2
GE1783_0689	1
GE1783_0690	2
GE1783_0691	2
GE1783_0692	1
GE1783_0693	1
GE1783_0694	2
GE1783_0696	1
GE1783_0697	2
GE1783_0698	0
GE1783_0699	1
GE1783_0700	1
GE1783_0701	1
GE1783_0702	1
GE1783_0703	2
GE1783_0704	1
GE1783_0705	NA
GE1783_0706	1
GE1783_0707	2
GE1783_0708	2
GE1783_0709	2
GE1783_0710	2
GE1783_0711	2
GE1783_0712	NA
GE1783_0713	1
GE1783_0714	1
GE1783_0715	2
GE1783_0716	2
GE1783_0717	NA
GE1783_0718	1
GE1783_0719	0
GE1783_0720	NA
GE1783_0721	2
GE1783_0722	2
GE1783_0723	2
GE1783_0724	2
GE1783_0725	1
GE1783_0726	2
GE1783_0727	1
GE1783_0728	2
GE1783_0729	2
GE1783_0730	2
GE1783_0731	1
GE1783_0732	NA
GE1783_0733	1
GE1783_0734	2
GE1783_0735	2
GE1783_0736	NA
GE1783_0737	2
GE1783_0738	NA
GE1783_0739	1
GE1783_0740	1
GE1783_0741	2
GE1783_0742	NA
GE1783_0743	2
GE1783_0744	1
GE1783_0745	NA
GE1783_0746	1
GE1783_0747	2
GE1783_0748	1
GE1783_0749	1
GE1783_0750	1
GE1783_0751	2
GE1783_0752	1
GE1783_0753	2
GE1783_0754	2
GE1783_0755	2
GE1783_0756	2
GE1783_0757	2
GE1783_0758	NA
GE1783_0759	2
GE1783_0760	2
GE1783_0761	1
GE1783_0762	1
GE1783_0764	2
GE1783_0765	2
GE1783_0766	1
GE1783_0767	NA
GE1783_0768	1
GE1783_0769	1
GE1783_0770	NA
GE1783_0771	1
GE1783_0772	2
GE1783_0773	2
GE1783_0774	1
GE1783_0775	1
GE1783_0776	1
GE1783_0777	2
GE1783_0778	1
GE1783_0779	1
GE1783_0780	2
GE1783_0781	2
GE1783_0782	2
GE1783_0783	1
GE1783_0784	2
GE1783_0785	NA
GE1783_0786	2
GE1783_0787	NA
GE1783_0788	1
GE1783_0789	0
GE1783_0790	2
GE1783_0791	2
GE1783_0792	2
GE1783_0793	NA
GE1783_0794	2
GE1783_0795	1
GE1783_0796	2
GE1783_0797	1
GE1783_0798	2
GE1783_0799	2
GE1783_0800	2
GE1783_0801	1
GE1783_0802	2
GE1783_0803	0
GE1783_0804	1
GE1783_0805	1
GE1783_0806	2
GE1783_0807	1
GE1783_0808	2
GE1783_0809	2
GE1783_0810	1
GE1783_0811	1
GE1783_0812	2
GE1783_0813	2
GE1783_0814	1
GE1783_0815	2
GE1783_0816	2
GE1783_0817	2
GE1783_0818	1
GE1783_0819	1
GE1783_0820	2
GE1783_0821	2
GE1783_0822	2
GE1783_0823	2
GE1783_0824	2
GE1783_0825	2
GE1783_0826	NA
GE1783_0827	2
GE1783_0828	NA
GE1783_0829	2
GE1783_0830	1
GE1783_0831	2
GE1783_0832	1
GE1783_0833	1
GE1783_0834	1
GE1783_0835	1
GE1783_0836	1
GE1783_0837	2
GE1783_0838	2
GE1783_0839	2
GE1783_0840	1
GE1783_0841	2
GE1783_0842	2
GE1783_0843	1
GE1783_0844	2
GE1783_0845	0
GE1783_0846	2
GE1783_0847	NA
GE1783_0848	1
GE1783_0849	2
GE1783_0850	1
GE1783_0851	2
GE1783_0852	0
GE1783_0853	1
GE1783_0854	2
GE1783_0855	1
GE1783_0856	0
GE1783_0857	2
GE1783_0858	1
GE1783_0859	2
GE1783_0860	NA
GE1783_0861	2
GE1783_0862	2
GE1783_0863	2
GE1783_0864	0
GE1783_0865	NA
GE1783_0866	2
GE1783_0867	2
GE1783_0868	1
GE1783_0869	2
GE1783_0870	NA
GE1783_0871	1
GE1783_0872	2
GE1783_0873	1
GE1783_0874	1
GE1783_0875	2
GE1783_0876	1
GE1783_0877	2
GE1783_0878	1
GE1783_0879	1
GE1783_0880	1
GE1783_0881	1
GE1783_0882	0
GE1783_0883	2
GE1783_0884	NA
GE1783_0885	NA
GE1783_0886	1
GE1783_0887	2
GE1783_0888	1
GE1783_0889	1
GE1783_0890	2
GE1783_0891	1
GE1783_0892	2
GE1783_0893	1
GE1783_0894	2
GE1783_0895	2
GE1783_0896	1
GE1783_0897	0
GE1783_0898	2
GE1783_0899	2
GE1783_0900	2
GE1783_0901	1
GE1783_0902	2
GE1783_0904	2
GE1783_0905	NA
GE1783_0906	2
GE1783_0907	2
GE1783_0908	1
GE1783_0909	0
GE1783_0910	0
GE1783_0911	1
GE1783_0912	2
GE1783_0913	1
GE1783_0914	1
GE1783_0915	1
GE1783_0916	2
GE1783_0917	2
GE1783_0918	2
GE1783_0919	2
GE1783_0920	2
GE1783_0921	2
GE1783_0922	1
GE1783_0923	NA
GE1783_0924	2
GE1783_0925	2
GE1783_0926	0
GE1783_0927	1
GE1783_0928	1
GE1783_0929	1
GE1783_0930	2
GE1783_0931	2
GE1783_0932	2
GE1783_0933	2
GE1783_0934	2
GE1783_0935	2
GE1783_0936	1
GE1783_0937	2
GE1783_0938	2
GE1783_0939	2
GE1783_0940	2
GE1783_0941	1
GE1783_0942	2
GE1783_0943	1
GE1783_0944	0
GE1783_0945	2
GE1783_0946	2
GE1783_0947	2
GE1783_0948	1
GE1783_0949	2
GE1783_0950	1
GE1783_0951	1
GE1783_0952	2
GE1783_0953	1
GE1783_0954	1
GE1783_0955	2
GE1783_0956	1
GE1783_0957	1
GE1783_0958	2
GE1783_0959	2
GE1783_0960	1
GE1783_0961	1
GE1783_0962	2
GE1783_0963	2
GE1783_0964	1
GE1783_0965	1
GE1783_0966	2
GE1783_0968	2
GE1783_0969	1
GE1783_0970	NA
GE1783_0971	1
GE1783_0972	1
GE1783_0973	1
GE1783_0974	2
GE1783_0975	1
GE1783_0976	2
GE1783_0977	1
GE1783_0978	2
GE1783_0979	2
GE1783_0980	2
GE1783_0981	2
GE1783_0982	1
GE1783_0983	2
GE1783_0984	2
GE1783_0985	2
GE1783_0986	2
GE1783_0987	0
GE1783_0988	2
GE1783_0989	1
GE1783_0990	1
GE1783_0991	2
GE1783_0992	1
GE1783_0993	2
GE1783_0994	0
GE1783_0995	1
GE1783_0996	0
GE1783_0997	2
GE1783_0998	2
GE1783_0999	2
GE1783_1000	2
GE1783_1002	2
GE1783_1003	1
GE1783_1004	1
GE1783_1005	1
GE1783_1006	2
GE1783_1007	2
GE1783_1008	2
GE1783_1009	2
GE1783_1010	1
GE1783_1011	1
GE1783_1012	1
GE1783_1013	1
GE1783_1014	2
GE1783_1015	1
GE1783_1016	1
GE1783_1017	2
GE1783_1018	2
GE1783_1019	2
GE1783_1020	2
GE1783_1021	2
GE1783_1022	1
GE1783_1023	1
